0, Adams, James L., Q17505029
1, Alcorn, Robert Hayden, No Entry
2, Andelman, David, Q30707927
3, Bergier, Jacques, Q371639
4, Blake, George, Q775915
5, Blundell, Nigel, No Entry
6, Boar, Roger, No Entry
7, Brandsma, Gijs, No Entry
8, Burn, Michael, No Entry
9, Buzanova, I V., No Entry
10, Campbell, Duncan, Q5314290
11, Carney, Ralph M., No Entry
12, Cohen, Daniel, Q5216824
13, Colby, William, Q482827
14, Copeland, Miles, Q6851353
15, Cyr, C. C., No Entry
16, Dann, Geoff, No Entry
17, De Grazia, Alfred, No Entry
18, Deacon, Richard, Q383518
19, Deindorfer, Robert G., No Entry
20, Denega, Danielle, No Entry
21, Diaz-Cobo, Oscar, No Entry
22, Dover, Robert V. H., No Entry
23, Downton, Eric, No Entry
24, Dulles, Allen Welsh, No Entry
25, Eoyang, Carson, No Entry
26, Farago, Ladislas, Q6469613
27, French, Margaret, No Entry
28, French, Scott R., No Entry
29, Fridell, Ron, No Entry
30, Gannon, James P., No Entry
31, Gelb, Norman, No Entry
32, Gifford, Clive, No Entry
33, Gill, Peter, Q7174232
34, Goodman, Michael B., No Entry
35, Gorton, Steve, No Entry
36, Hagen, Louis, No Entry
37, Hall, Richard L., No Entry
38, Healey, Tim, No Entry
39, Helms, Richard, Q913848
40, Henderson, Bruce, Q4497217
41, Henhoeffer, William H., No Entry
42, Hines, Janet, No Entry
43, Hitz, Frederick P., No Entry
44, Hutton, Joseph Bernard, No Entry
45, Iarochkin, V., No Entry
46, Knight, David, Q5236077
47, Knightley, Phillip, Q5915325
48, Kostov, Vladimir, No Entry
49, Laffin, John, Q6243803
50, Lang, Patrick, No Entry
51, Lasota, Irena, No Entry
52, Lawson, Don, No Entry
53, Le Caron, Henri, No Entry
54, Liebenau, Gerald L., No Entry
55, Lockhart, Robin Bruce, Q16087389
56, Lotz, Wolfgang, Q701741
57, Mack, Jefferson, No Entry
58, Maddrell, Paul, Q7152146
59, Marenches, Alexandre de, Q2834206
60, Martini, Teri, No Entry
61, McCormick, Donald B., No Entry
62, Melton, H. Keith, Q5628341
63, Morrill, Leslie H., No Entry
64, Mr X, Anon, No Entry
65, Murphy, Brian E., No Entry
66, Oppenheim, E. Phillips, Q163069
67, Owen, David, Q333085
68, Paine, Lauran, Q6499614
69, Palmer, Raymond Edward, No Entry
70, Parker, John, Q1701324
71, Phythian, Mark, Q6769258
72, Piekalkiewicz, Janusz, No Entry
73, Platt, Richard, Q3431128
74, Pohl-Wannenmacher, Belga, No Entry
75, Pohl-Wannenmacher, Helga, No Entry
76, Portalupi, Laura, No Entry
77, Probert, Ian, No Entry
78, Redlinger, Lawrence J., No Entry
79, Richelson, Jeffrey, No Entry
80, Rimington, Dame Stella, No Entry
81, Rowan, Richard L., No Entry
82, Runde, Carl Peter, No Entry
83, Rusbridger, James, Q6142510
84, Russell, Francis, Q1040449
85, Sarbin, Theodore R., Q7781962
86, Shems, Ed, No Entry
87, Silva, Daniel, Q1208507
88, Silverstein, Herma, No Entry
89, Steven, Stewart, Q7615949
90, Sullivan, George, Q1508304
91, Sweeney, James Johnson, Q6136905
92, Sweetman, David, Q5240205
93, Voss, Greg, No Entry
94, Vyleta, Dan, Q5214534
95, Wark, Wesley K., No Entry
96, Way, Peter, Q7177621
97, West, Nigel, No Entry
98, West, William F., No Entry
99, Wiese, Jim, No Entry
100, Wilson, Rena, No Entry
101, Winkler, Ira, No Entry
102, Wolf, Markus, Q57399
103, Wright, Peter, Q3124586
